title,street,city,state,postal_code,country,lat,lng,categories
18236 - Bottle Store- HSR Layout,"1791/A, 19th Main Road, Sector 1, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",Bengaluru,Karnataka,560102,India,12.9132214,77.6447295,shops
41738 - Quench- HRBR Layout,"MCECHS Layout Main Road, Arkavathy Layout 8th Block, Arkavathy Layout, Jakkur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560077, India",Bengaluru,Karnataka,560077,India,13.0710947,77.6202164,shops
45489 - Liquid Therapy,"1552,1553, 19th Main Road, Sector 1, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",Bengaluru,Karnataka,560102,India,12.9210154,77.6451369,shops
45328 - Arun Sprits Zone,"Chokkanahalli Road, Chokkanahalli, R K Hegde Nagara, Sampigehalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",Bengaluru,Karnataka,560064,India,13.0808427,77.6260413,shops
16808 - SVS Drops,"Kottayam, 23, 14th Main, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",Bengaluru,Karnataka,560102,India,12.9143253,77.638354,shops
45133 - CBW Tonic Bar and mrp,"Thanisandra Main Road, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 562149, India",Bengaluru,Karnataka,562149,India,13.0922529,77.6360183,shops
808 - Spirit treasure,"365/A, 13th Cross Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",Bengaluru,Karnataka,560102,India,12.9159665,77.6327946,shops
19876 - Golden Amulya - Baglur Cross,"Akash Ward, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560063, India",Bengaluru,Karnataka,560063,India,13.1211821,77.6100169,shops
13982 - Liquor Zone,"5th Main Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",Bengaluru,Karnataka,560102,India,12.9133329,77.6324284,shops
42753 - SLNS- Classic Jayamahal Palace Road,"Jayamahal Road, Jayamahal Extension, Jayamahal, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560046, India",Bengaluru,Karnataka,560046,India,13.0017069,77.5945073,shops
40670 - Konark bar,"Kogilu Main Road, Kogilu, Akash Ward, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",Bengaluru,Karnataka,560064,India,13.1044089,77.6073016,shops
45315 - The Liquor House yalanka,"Service Road, Surabhi Layout, Yelahanka, Yelahanka Old Town, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",Bengaluru,Karnataka,560064,India,13.095799,77.5983299,shops
3213 - UJWALA BAR AND RESTURENT,"Ujval, Millers Road, Kaverappa Layout, Vasanth Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560052, India",Bengaluru,Karnataka,560052,India,12.9922545,77.5944935,shops
